ticker,marketCap,price,avgVol10d,avgVol,exchange,quoteType,sector,industry,profitMargins,returnOnEquity,revenueGrowth,currentRatio,freeCashflow,longName,Symbol,Security,GICS Sub-Industry,Index,avgDollarVol
NEOG,2522908160,11.57,2027230,2304382,NMS,EQUITY,Healthcare,Medical Devices,-0.00908,-0.00379,-0.001,3.822,69500000,Neogen Corporation,NEOG,Neogen,Health Care Supplies,S&P 600 (SmallCap),23455051.1
NHC,3667428864,234.17,127980,132800,ASE,EQUITY,Healthcare,Medical Care Facilities,0.08997,0.13267,0.088,1.862,63169624,National HealthCare Corporation,NHC,"National Healthcare, Corp.",Health Care Facilities,S&P 600 (SmallCap),29969076.599999998
OGN,3592497152,13.68,2524280,2610424,NYQ,EQUITY,Healthcare,Drug Manufacturers - General,0.03411,0.24037,-0.023,1.954,490750016,Organon & Co.,OGN,Organon & Co.,Pharmaceuticals,S&P 600 (SmallCap),34532150.4
OMCL,1635876352,35.97,683560,726750,NMS,EQUITY,Healthcare,Health Information Services,0.03135,0.03059,0.075,1.644,142931872,"Omnicell, Inc.",OMCL,Omnicell,Health Care Technology,S&P 600 (SmallCap),24587653.2
PAHC,1405567488,34.65,157010,280506,NGM,EQUITY,Healthcare,Drug Manufacturers - Specialty & Generic,0.06349,0.30337998,0.103,3.172,-17678250,Phibro Animal Health Corporation,PAHC,Phibro Animal Health,Pharmaceuticals,S&P 600 (SmallCap),5440396.5
PBH,2395729408,50.57,661310,639379,NYQ,EQUITY,Healthcare,Drug Manufacturers - Specialty & Generic,0.15568,0.0912,0.065,3.23,147887504,Prestige Consumer Healthcare Inc.,PBH,Prestige Consumer Healthcare,Pharmaceuticals,S&P 600 (SmallCap),33442446.7
PCRX,956685312,24.0,865130,561345,NMS,EQUITY,Healthcare,Drug Manufacturers - Specialty & Generic,0.01962,0.020480001,0.062,5.042,92841248,"Pacira BioSciences, Inc.",PCRX,"Pacira BioSciences, Inc.",Pharmaceuticals,S&P 600 (SmallCap),20763120.0
PGNY,1972646016,25.71,1328090,1333088,NMS,EQUITY,Healthcare,Healthcare Plans,0.05999,0.16242,0.053,2.137,200944368,"Progyny, Inc.",PGNY,"Progyny, Inc.",Health Care Services,S&P 600 (SmallCap),34145193.9
PRGO,1794630144,12.97,3079180,3428098,NYQ,EQUITY,Healthcare,Drug Manufacturers - Specialty & Generic,-0.41851002,-0.48746,-0.032,2.324,437212512,Perrigo Company plc,PRGO,Perrigo,Pharmaceuticals,S&P 600 (SmallCap),39936964.6
PRVA,2748840192,21.52,1605390,1181479,NMS,EQUITY,Healthcare,Health Information Services,0.01193,0.04306,0.214,1.616,95646496,"Privia Health Group, Inc.",PRVA,"Privia Health Group, Inc.",Health Care Services,S&P 600 (SmallCap),34547992.8
PTCT,6061757440,72.63,922870,1710154,NMS,EQUITY,Healthcare,Biotechnology,-0.03805,,1.015,3.394,-286804256,"PTC Therapeutics, Inc.",PTCT,"PTC Therapeutics, Inc.",Pharmaceuticals,S&P 600 (SmallCap),67028048.099999994
QDEL,920967936,13.43,1989090,1628991,NMS,EQUITY,Healthcare,Medical Devices,-0.39203998,-0.45905998,0.028,1.386,146762496,QuidelOrtho Corporation,QDEL,QuidelOrtho,Health Care Supplies,S&P 600 (SmallCap),26713478.7
RCUS,3711566080,29.51,1258120,1271029,NYQ,EQUITY,Healthcare,Biotechnology,0.0,-0.90819,-0.744,3.818,-270624992,"Arcus Biosciences, Inc.",RCUS,"Arcus Biosciences, Inc.",Biotechnology,S&P 600 (SmallCap),37127121.2
RDNT,5810255872,73.83,936020,835224,NGM,EQUITY,Healthcare,Diagnostics & Research,-0.00931,0.01498,0.25,1.484,157737248,"RadNet, Inc.",RDNT,"RadNet, Inc.",Health Care Services,S&P 600 (SmallCap),69106356.6
SDGR,1321815552,17.67,1343140,1271796,NMS,EQUITY,Healthcare,Health Information Services,-0.20976,-0.16174999,0.075,2.706,-29163124,"Schrödinger, Inc.",SDGR,"Schrödinger, Inc.",Health Care Services,S&P 600 (SmallCap),23733283.8
SRPT,1903399040,18.02,2816970,3277862,NMS,EQUITY,Healthcare,Biotechnology,-0.06925,-0.09478,-0.343,4.422,22139876,"Sarepta Therapeutics, Inc.",SRPT,Sarepta Therapeutics,Biotechnology,S&P 600 (SmallCap),50761799.4
STAA,1226788480,24.64,1152170,879885,NGM,EQUITY,Healthcare,Medical Instruments & Supplies,0.0113,0.0109399995,1.11,4.665,15348500,STAAR Surgical Company,STAA,STAAR Surgical Company,Health Care Equipment,S&P 600 (SmallCap),28389468.8
SUPN,2851976960,49.03,1106010,855585,NGM,EQUITY,Healthcare,Drug Manufacturers - Specialty & Generic,-0.13232,-0.104899995,0.324,2.083,84611000,"Supernus Pharmaceuticals, Inc.",SUPN,"Supernus Pharmaceuticals, Inc.",Pharmaceuticals,S&P 600 (SmallCap),54227670.300000004
TFX,5589766656,131.92,728470,554751,NYQ,EQUITY,Healthcare,Medical Instruments & Supplies,-0.45761,-0.00701,0.289,2.604,179542000,Teleflex Incorporated,TFX,Teleflex,Health Care Equipment,S&P 600 (SmallCap),96099762.39999999
TGTX,7693980672,50.26,1921690,2370175,NCM,EQUITY,Healthcare,Biotechnology,0.55218,1.0028,0.703,4.267,59134500,"TG Therapeutics, Inc.",TGTX,"TG Therapeutics, Inc.",Biotechnology,S&P 600 (SmallCap),96584139.39999999
TMDX,3144688896,90.69,1104800,1070243,NGM,EQUITY,Healthcare,Medical Devices,0.22694,0.36285,0.207,6.625,44496752,"TransMedics Group, Inc.",TMDX,"TransMedics Group, Inc.",Health Care Equipment,S&P 600 (SmallCap),100194312.0
TNDM,1651102592,23.73,2582240,2244933,NGM,EQUITY,Healthcare,Medical Devices,-0.0608,-0.48026,0.058,3.18,-43949124,"Tandem Diabetes Care, Inc.",TNDM,Tandem Diabetes Care,Health Care Equipment,S&P 600 (SmallCap),61276555.2
UFPT,2432100608,313.99,216170,205514,NCM,EQUITY,Healthcare,Medical Devices,0.11446,0.17052001,0.151,3.0,34872376,"UFP Technologies, Inc.",UFPT,"UFP Technologies, Inc.",Health Care Equipment,S&P 600 (SmallCap),67875218.3
USPH,1167104256,78.21,248510,228317,NYQ,EQUITY,Healthcare,Medical Care Facilities,0.04007,0.0651,0.085,1.271,41290124,"U.S. Physical Therapy, Inc.",USPH,"U.S. Physical Therapy, Inc.",Health Care Facilities,S&P 600 (SmallCap),19435967.099999998
VCEL,2266404864,44.26,392100,579996,NGM,EQUITY,Healthcare,Biotechnology,0.07908,0.07157,0.225,5.039,55544876,Vericel Corporation,VCEL,Vericel,Biotechnology,S&P 600 (SmallCap),17354346.0
VCYT,3270294784,40.68,1186080,1331888,NGM,EQUITY,Healthcare,Diagnostics & Research,0.20374,0.087740004,0.155,9.162,106230872,"Veracyte, Inc.",VCYT,"Veracyte, Inc.",Health Care Services,S&P 600 (SmallCap),48249734.4
VIR,1605859328,9.49,1482480,1836570,NMS,EQUITY,Healthcare,Biotechnology,-0.83,-0.26081,195.825,6.042,-38885876,"Vir Biotechnology, Inc.",VIR,"Vir Biotechnology, Inc.",Biotechnology,S&P 600 (SmallCap),14068735.200000001
WAY,4663321600,24.32,2834780,2752719,NMS,EQUITY,Healthcare,Health Information Services,0.11179,0.03765,0.181,1.847,313745376,Waystar Holding Corp.,WAY,Waystar Holding Corp,Health Care Technology,S&P 600 (SmallCap),68941849.6
XNCR,1889319936,25.41,1042970,961859,NGM,EQUITY,Healthcare,Biotechnology,-1.55588,-0.29072002,0.175,6.391,-94537504,"Xencor, Inc.",XNCR,Xencor Inc,Biotechnology,S&P 600 (SmallCap),26501867.7
