ticker,name,sector,index,market_cap,price,avg_dollar_volume,exchange,quote_type
CPAY,Corpay,Financials,S&P 500,26899425280,409.68,262895752.8,NYQ,EQUITY
CTVA,Corteva,Materials,S&P 500,50393317376,75.53,461362164.90000004,NYQ,EQUITY
CSGP,CoStar Group,Real Estate,S&P 500,12358526976,30.5,205347655.0,NMS,EQUITY
COST,Costco,Consumer Staples,S&P 500,421116411904,949.575,1753978974.0,NMS,EQUITY
CRH,CRH plc,Materials,S&P 500,65191223296,97.99,511429408.0,NYQ,EQUITY
CRWD,CrowdStrike,Information Technology,S&P 500,225829535744,221.78,1708985670.6,NMS,EQUITY
CCI,Crown Castle,Real Estate,S&P 500,31470938112,73.97,313730440.4,NYQ,EQUITY
CSX,CSX Corporation,Industrials,S&P 500,92771942400,50.08,575773766.4,NMS,EQUITY
CMI,Cummins,Industrials,S&P 500,88016322560,637.85,702355770.5,NYQ,EQUITY
CVS,CVS Health,Health Care,S&P 500,121144074240,94.72,870682342.4,NYQ,EQUITY
DHR,Danaher Corporation,Health Care,S&P 500,144667492352,205.79,788535832.5,NYQ,EQUITY
DRI,Darden Restaurants,Consumer Discretionary,S&P 500,25851187200,227.68,267032211.20000002,NYQ,EQUITY
DDOG,Datadog,Information Technology,S&P 500,86504759296,240.91,1642673744.2,NMS,EQUITY
DVA,DaVita,Health Care,S&P 500,11649577984,181.5,267828660.0,NYQ,EQUITY
DECK,Deckers Brands,Consumer Discretionary,S&P 500,12419784704,91.2,193567440.0,NYQ,EQUITY
DE,Deere & Company,Industrials,S&P 500,167404404736,619.77,597669001.8,NYQ,EQUITY
DELL,Dell Technologies,Information Technology,S&P 500,313056002048,484.5,2798379945.0,NYQ,EQUITY
DAL,Delta Air Lines,Industrials,S&P 500,59140038656,89.93,401580616.40000004,NYQ,EQUITY
DVN,Devon Energy,Energy,S&P 500,49345998848,44.86,467871407.4,NYQ,EQUITY
DXCM,Dexcom,Health Care,S&P 500,34264358912,90.8,604259472.0,NMS,EQUITY
FANG,Diamondback Energy,Energy,S&P 500,56498966528,200.84,382803048.40000004,NMS,EQUITY
DLR,Digital Realty,Real Estate,S&P 500,74232733696,197.06,432659024.2,NYQ,EQUITY
DG,Dollar General,Consumer Staples,S&P 500,26382161920,119.6,222868620.0,NYQ,EQUITY
DLTR,Dollar Tree,Consumer Staples,S&P 500,24715575296,128.61,228834486.90000004,NMS,EQUITY
D,Dominion Energy,Utilities,S&P 500,59842945024,68.04,255516735.60000002,NYQ,EQUITY
DPZ,Domino's,Consumer Discretionary,S&P 500,11701671936,353.72,260854351.20000002,NMS,EQUITY
DASH,DoorDash,Consumer Discretionary,S&P 500,92070993920,212.49,1019554643.7,NMS,EQUITY
DOV,Dover Corporation,Industrials,S&P 500,28022915072,208.07,218669085.79999998,NYQ,EQUITY
DOW,Dow Inc.,Materials,S&P 500,22081955840,30.57,266042150.4,NYQ,EQUITY
DHI,D. R. Horton,Consumer Discretionary,S&P 500,40786042880,145.82,317883225.4,NYQ,EQUITY
DTE,DTE Energy,Utilities,S&P 500,28857651200,138.68,195408440.8,NYQ,EQUITY
DUK,Duke Energy,Utilities,S&P 500,96285425664,123.49,719339129.1999999,NYQ,EQUITY
DD,DuPont,Industrials,S&P 500,19492751360,144.37,335198266.0,NYQ,EQUITY
ETN,Eaton Corporation,Industrials,S&P 500,178602459136,459.96,1180243561.2,NYQ,EQUITY
EBAY,eBay Inc.,Consumer Discretionary,S&P 500,45527949312,102.31,508912448.2,NMS,EQUITY
ECHO,EchoStar,Communication Services,S&P 500,26870390784,92.5,472983950.0,NMS,EQUITY
ECL,Ecolab,Materials,S&P 500,78051893248,278.43,337142534.1,NYQ,EQUITY
EIX,Edison International,Utilities,S&P 500,26706092032,69.4,287511014.0,NYQ,EQUITY
EW,Edwards Lifesciences,Health Care,S&P 500,53578190848,93.05,324333219.0,NYQ,EQUITY
